52	26.674	29.59	345.0	15.0	-6.904	25.765	-7.659	28.584	7.659	28.584	6.904	25.765
53	26.674	29.59	15.0	45.0	6.904	25.765	7.659	28.584	20.925	20.925	18.861	18.861
54	26.674	29.59	45.0	75.0	18.861	18.861	20.925	20.925	28.584	7.659	25.765	6.904
55	26.674	29.59	75.0	105.0	25.765	6.904	28.584	7.659	28.584	-7.659	25.765	-6.904
56	26.674	29.59	105.0	135.0	25.765	-6.904	28.584	-7.659	20.925	-20.925	18.861	-18.861
57	26.674	29.59	135.0	165.0	18.861	-18.861	20.925	-20.925	7.659	-28.584	6.904	-25.765
58	26.674	29.59	165.0	195.0	6.904	-25.765	7.659	-28.584	-7.659	-28.584	-6.904	-25.765
59	26.674	29.59	195.0	225.0	-6.904	-25.765	-7.659	-28.584	-20.925	-20.925	-18.861	-18.861
60	26.674	29.59	225.0	255.0	-18.861	-18.861	-20.925	-20.925	-28.584	-7.659	-25.765	-6.904
61	26.674	29.59	255.0	285.0	-25.765	-6.904	-28.584	-7.659	-28.584	7.659	-25.765	6.904
62	26.674	29.59	285.0	315.0	-25.765	6.904	-28.584	7.659	-20.925	20.925	-18.861	18.861
63	26.674	29.59	315.0	345.0	-18.861	18.861	-20.925	20.925	-7.659	28.584	-6.904	25.765
64	29.592	32.25	360.0	30.0	0.000	29.592	0.000	32.247	16.123	27.927	14.796	25.627
65	29.592	32.25	30.0	60.0	14.796	25.627	16.123	27.927	27.927	16.123	25.627	14.796
66	29.592	32.25	60.0	90.0	25.627	14.796	27.927	16.123	32.247	0.000	29.592	0.000
67	29.592	32.25	90.0	120.0	29.592	0.000	32.247	0.000	27.927	-16.123	25.627	-14.796
68	29.592	32.25	120.0	150.0	25.627	-14.796	27.927	-16.123	16.123	-27.927	14.796	-25.627
69	29.592	32.25	150.0	180.0	14.796	-25.627	16.123	-27.927	0.000	-32.247	0.000	-29.592
70	29.592	32.25	180.0	210.0	0.000	-29.592	0.000	-32.247	-16.123	-27.927	-14.796	-25.627
71	29.592	32.25	210.0	240.0	-14.796	-25.627	-16.123	-27.927	-27.927	-16.123	-25.627	-14.796
72	29.592	32.25	240.0	270.0	-25.627	-14.796	-27.927	-16.123	-32.247	0.000	-29.592	0.000
73	29.592	32.25	270.0	300.0	-29.592	0.000	-32.247	0.000	-27.927	16.123	-25.627	14.796
74	29.592	32.25	300.0	330.0	-25.627	14.796	-27.927	16.123	-16.123	27.927	-14.796	25.627
75	29.592	32.25	330.0	360.0	-14.796	25.627	-16.123	27.927	0.000	32.247	0.000	29.592
76	32.247	34.7	345.0	15.0	-8.346	31.148	-8.981	33.517	8.981	33.517	8.346	31.148
77	32.247	34.7	15.0	45.0	8.346	31.148	8.981	33.517	24.536	24.536	22.802	22.802
78	32.247	34.7	45.0	75.0	22.802	22.802	24.536	24.536	33.517	8.981	31.148	8.346
79	32.247	34.7	75.0	105.0	31.148	8.346	33.517	8.981	33.517	-8.981	31.148	-8.346
80	32.247	34.7	105.0	135.0	31.148	-8.346	33.517	-8.981	24.536	-24.536	22.802	-22.802
81	32.247	34.7	135.0	165.0	22.802	-22.802	24.536	-24.536	8.981	-33.517	8.346	-31.148
82	32.247	34.7	165.0	195.0	8.346	-31.148	8.981	-33.517	-8.981	-33.517	-8.346	-31.148
83	32.247	34.7	195.0	225.0	-8.346	-31.148	-8.981	-33.517	-24.536	-24.536	-22.802	-22.802
84	32.247	34.7	225.0	255.0	-22.802	-22.802	-24.536	-24.536	-33.517	-8.981	-31.148	-8.346
85	32.247	34.7	255.0	285.0	-31.148	-8.346	-33.517	-8.981	-33.517	8.981	-31.148	8.346
86	32.247	34.7	285.0	315.0	-31.148	8.346	-33.517	8.981	-24.536	24.536	-22.802	22.802
87	32.247	34.7	315.0	345.0	-22.802	22.802	-24.536	24.536	-8.981	33.517	-8.346	31.148
88	34.699	36.99	360.0	30.0	0.000	34.699	0.000	36.990	18.495	32.034	17.350	30.051
89	34.699	36.99	30.0	60.0	17.350	30.051	18.495	32.034	32.034	18.495	30.051	17.350
