        T(eV),           M0(Ang**2) and  M1(eV/Ang) calculated by Z.Chaoui using prog of BichselCOV 
   114000.100000    1.935756E-02    6.951021E-02
   115000.100000    1.924817E-02    6.910594E-02
   116000.100000    1.914060E-02    6.876936E-02
   117000.100000    1.903481E-02    6.843880E-02
   118000.100000    1.893078E-02    6.811413E-02
   119000.100000    1.882844E-02    6.779514E-02
   120000.100000    1.872774E-02    6.742189E-02
   121000.100000    1.862867E-02    6.711404E-02
   122000.100000    1.853118E-02    6.681150E-02
   123000.100000    1.843525E-02    6.651403E-02
   124000.100000    1.834076E-02    6.616329E-02
   125000.100000    1.824780E-02    6.587595E-02
   126000.100000    1.815625E-02    6.559356E-02
   127000.100000    1.806614E-02    6.531588E-02
   128000.100000    1.797737E-02    6.498549E-02
   129000.100000    1.788994E-02    6.471693E-02
   130000.100000    1.780385E-02    6.445281E-02
   131000.100000    1.771899E-02    6.413672E-02
   132000.100000    1.763540E-02    6.388117E-02
   133000.100000    1.755308E-02    6.362981E-02
   134000.100000    1.747190E-02    6.332713E-02
   135000.100000    1.739191E-02    6.308381E-02
   136000.100000    1.731311E-02    6.284435E-02
   137000.100000    1.723539E-02    6.260887E-02
   138000.100000    1.715876E-02    6.232218E-02
   139000.100000    1.708326E-02    6.209403E-02
   140000.100000    1.700875E-02    6.186938E-02
   141000.100000    1.693529E-02    6.159427E-02
   142000.100000    1.686289E-02    6.137663E-02
   143000.100000    1.679140E-02    6.110900E-02
   144000.100000    1.672096E-02    6.089792E-02
   145000.100000    1.665147E-02    6.069009E-02
   146000.100000    1.658284E-02    6.043281E-02
   147000.100000    1.651518E-02    6.023124E-02
   148000.100000    1.644840E-02    6.003275E-02
   149000.100000    1.638249E-02    5.978518E-02
   150000.100000    1.631745E-02    5.959262E-02
   151000.100000    1.625329E-02    5.940295E-02
   152000.100000    1.618988E-02    5.916441E-02
   153000.100000    1.612734E-02    5.898030E-02
   154000.100000    1.606559E-02    5.874784E-02
   155000.100000    1.600461E-02    5.856904E-02
   156000.100000    1.594439E-02    5.839302E-02
   157000.100000    1.588495E-02    5.816879E-02
   158000.100000    1.582625E-02    5.799776E-02
   159000.100000    1.576827E-02    5.777904E-02
   160000.100000    1.571099E-02    5.761285E-02
   161000.100000    1.565440E-02    5.739938E-02
   162000.200000    1.559850E-02    5.723790E-02
   163000.200000    1.554331E-02    5.707886E-02
   164000.200000    1.548875E-02    5.687263E-02
   165000.200000    1.543486E-02    5.671797E-02
   166000.200000    1.538158E-02    5.651655E-02
   167000.200000    1.532897E-02    5.636618E-02
   168000.200000    1.527694E-02    5.616942E-02
   169000.200000    1.522556E-02    5.602322E-02
   170000.200000    1.517476E-02    5.583093E-02
   171000.200000    1.512454E-02    5.568878E-02
   172000.200000    1.507490E-02    5.554868E-02
   173000.200000    1.502583E-02    5.536250E-02
   174000.200000    1.497731E-02    5.522619E-02
   175000.200000    1.492932E-02    5.504408E-02
   176000.200000    1.488189E-02    5.491157E-02
   177000.200000    1.483497E-02    5.473337E-02
   178000.200000    1.478859E-02    5.460436E-02
   179000.200000    1.474272E-02    5.443008E-02
   180000.200000    1.469734E-02    5.430454E-02
   181000.200000    1.465247E-02    5.413396E-02
   182000.200000    1.460811E-02    5.401178E-02
   183000.200000    1.456419E-02    5.384479E-02
   184000.200000    1.452077E-02    5.372586E-02
   185000.200000    1.447780E-02    5.356235E-02
   186000.200000    1.443528E-02    5.344655E-02
   187000.200000    1.439325E-02    5.328635E-02
   188000.200000    1.435164E-02    5.317364E-02
   189000.200000    1.431048E-02    5.301672E-02
   190000.200000    1.426971E-02    5.290700E-02
   191000.200000    1.422939E-02    5.275325E-02
   192000.200000    1.418950E-02    5.264634E-02
   193000.200000    1.415001E-02    5.249559E-02
   194000.200000    1.411092E-02    5.239156E-02
   195000.200000    1.407222E-02    5.224377E-02
   196000.200000    1.403393E-02    5.214247E-02
   197000.200000    1.399602E-02    5.199758E-02
   198000.200000    1.395849E-02    5.189881E-02
   199000.200000    1.392131E-02    5.175667E-02
   200000.200000    1.388453E-02    5.161614E-02
   201000.200000    1.384812E-02    5.152113E-02
   202000.200000    1.381205E-02    5.138322E-02
   203000.200000    1.377636E-02    5.129068E-02
   204000.200000    1.374100E-02    5.115536E-02
   205000.200000    1.370599E-02    5.106522E-02
   206000.200000    1.367130E-02    5.093245E-02
   207000.200000    1.363700E-02    5.084464E-02
   208000.300000    1.360295E-02    5.071420E-02
   209000.300000    1.356928E-02    5.062870E-02
   210000.300000    1.353591E-02    5.050066E-02
   211000.300000    1.350284E-02    5.037393E-02
   212000.300000    1.347014E-02    5.029155E-02
   213000.300000    1.343771E-02    5.016717E-02
   214000.300000    1.340557E-02    5.008689E-02
   215000.300000    1.337375E-02    4.996467E-02
   216000.300000    1.334220E-02    4.988653E-02
   217000.300000    1.331096E-02    4.976637E-02
   218000.300000    1.328002E-02    4.964751E-02
   219000.300000    1.324934E-02    4.957224E-02
   220000.300000    1.321895E-02    4.945539E-02
   221000.300000    1.318883E-02    4.938205E-02
   222000.300000    1.315899E-02    4.926717E-02
   223000.300000    1.312941E-02    4.919579E-02
   224000.300000    1.310008E-02    4.908284E-02
   225000.300000    1.307104E-02    4.897103E-02
   226000.300000    1.304225E-02    4.890224E-02
   227000.300000    1.301372E-02    4.879229E-02
   228000.300000    1.298542E-02    4.872533E-02
   229000.300000    1.295739E-02    4.861716E-02
   230000.300000    1.292958E-02    4.851013E-02
   231000.300000    1.290204E-02    4.844549E-02
   232000.300000    1.287472E-02    4.834021E-02
   233000.300000    1.284766E-02    4.827737E-02
   234000.300000    1.282082E-02    4.817367E-02
   235000.300000    1.279419E-02    4.807109E-02
   236000.300000    1.276781E-02    4.801046E-02
   237000.300000    1.274163E-02    4.790945E-02
   238000.300000    1.271569E-02    4.785049E-02
   239000.300000    1.268998E-02    4.775104E-02
   240000.300000    1.266447E-02    4.765254E-02
   241000.300000    1.263917E-02    4.759578E-02
   242000.300000    1.261409E-02    4.749877E-02
   243000.300000    1.258922E-02    4.740271E-02
   244000.300000    1.256455E-02    4.734800E-02
   245000.300000    1.254007E-02    4.725336E-02
   246000.300000    1.251583E-02    4.720015E-02
   247000.300000    1.249175E-02    4.710698E-02
   248000.300000    1.246789E-02    4.701465E-02
   249000.300000    1.244421E-02    4.696339E-02
   250000.300000    1.242072E-02    4.687246E-02
   251000.300000    1.239744E-02    4.678233E-02
   252000.300000    1.237433E-02    4.673300E-02
   253000.300000    1.235140E-02    4.664417E-02
   254000.300000    1.232867E-02    4.659622E-02
   255000.300000    1.230611E-02    4.650870E-02
   256000.300000    1.228373E-02    4.642195E-02
   257000.200000    1.226152E-02    4.637583E-02
   258000.200000    1.223948E-02    4.629029E-02
   259000.200000    1.221762E-02    4.620556E-02
   260000.200000    1.219593E-02    4.616120E-02
   261000.200000    1.217442E-02    4.607760E-02
   262000.200000    1.215306E-02    4.599484E-02
   263000.200000    1.213188E-02    4.595219E-02
   264000.200000    1.211087E-02    4.587046E-02
   265000.100000    1.208998E-02    4.578951E-02
   266000.100000    1.206929E-02    4.574843E-02
   267000.100000    1.204875E-02    4.566861E-02
   268000.100000    1.202834E-02    4.558950E-02
   269000.100000    1.200812E-02    4.555005E-02
   270000.100000    1.198804E-02    4.547197E-02
   271000.100000    1.196810E-02    4.543370E-02
   272000.000000    1.194832E-02    4.535665E-02
   273000.000000    1.192868E-02    4.528027E-02
   274000.000000    1.190919E-02    4.524351E-02
   275000.000000    1.188984E-02    4.516815E-02
   276000.000000    1.187065E-02    4.509344E-02
   277000.000000    1.185159E-02    4.505815E-02
   278000.000000    1.183266E-02    4.498436E-02
   279000.000000    1.181389E-02    4.491126E-02
   279999.900000    1.179525E-02    4.487745E-02
   280999.900000    1.177673E-02    4.480520E-02
   281999.900000    1.175835E-02    4.473361E-02
   282999.900000    1.174011E-02    4.470117E-02
   283999.900000    1.172199E-02    4.463045E-02
   284999.900000    1.170402E-02    4.456033E-02
   285999.900000    1.168615E-02    4.449081E-02
   286999.800000    1.166843E-02    4.446002E-02
   287999.800000    1.165082E-02    4.439130E-02
   288999.800000    1.163334E-02    4.432324E-02
   289999.800000    1.161599E-02    4.429376E-02
   290999.800000    1.159876E-02    4.422649E-02
   291999.800000    1.158165E-02    4.415975E-02
   292999.800000    1.156466E-02    4.413154E-02
   293999.800000    1.154778E-02    4.406561E-02
   294999.800000    1.153103E-02    4.400026E-02
   295999.800000    1.151440E-02    4.397330E-02
   296999.700000    1.149787E-02    4.390863E-02
   297999.700000    1.148145E-02    4.384459E-02
   298999.700000    1.146516E-02    4.381878E-02
   299999.700000    1.144898E-02    4.375552E-02
   300999.700000    1.143291E-02    4.369263E-02
   301999.700000    1.141693E-02    4.366807E-02
   302999.700000    1.140107E-02    4.360597E-02
   303999.600000    1.138533E-02    4.354437E-02
   304999.600000    1.136968E-02    4.348319E-02
   305999.600000    1.135415E-02    4.346002E-02
   306999.600000    1.133871E-02    4.339955E-02
   307999.600000    1.132336E-02    4.333961E-02
   308999.600000    1.130815E-02    4.331756E-02
   309999.600000    1.129302E-02    4.325822E-02
   310999.500000    1.127799E-02    4.319941E-02
   311999.500000    1.126307E-02    4.317845E-02
   312999.500000    1.124824E-02    4.312021E-02
   313999.500000    1.123350E-02    4.306248E-02
   314999.500000    1.121887E-02    4.300519E-02
   315999.500000    1.120431E-02    4.298547E-02
   316999.500000    1.118988E-02    4.292880E-02
   317999.400000    1.117551E-02    4.287256E-02
   318999.400000    1.116127E-02    4.285384E-02
   319999.400000    1.114708E-02    4.279824E-02
   320999.400000    1.113302E-02    4.274301E-02
   321999.400000    1.111904E-02    4.268819E-02
   322999.400000    1.110514E-02    4.267073E-02
   323999.400000    1.109133E-02    4.261648E-02
   324999.400000    1.107760E-02    4.256266E-02
   325999.300000    1.106397E-02    4.254618E-02
   326999.300000    1.105043E-02    4.249292E-02
   327999.300000    1.103696E-02    4.244001E-02
   328999.300000    1.102358E-02    4.238759E-02
   329999.300000    1.101028E-02    4.237220E-02
   330999.300000    1.099707E-02    4.232024E-02
   331999.300000    1.098394E-02    4.226867E-02
   332999.300000    1.097092E-02    4.225424E-02
   333999.300000    1.095794E-02    4.220324E-02
   334999.200000    1.094506E-02    4.215252E-02
   335999.200000    1.093224E-02    4.210225E-02
   336999.200000    1.091954E-02    4.208885E-02
   337999.200000    1.090689E-02    4.203909E-02
   338999.200000    1.089431E-02    4.198968E-02
   339999.200000    1.088182E-02    4.194061E-02
   340999.200000    1.086941E-02    4.192822E-02
   341999.200000    1.085706E-02    4.187963E-02
   342999.100000    1.084480E-02    4.183140E-02
   343999.100000    1.083260E-02    4.181992E-02
   344999.100000    1.082048E-02    4.177214E-02
   345999.100000    1.080844E-02    4.172465E-02
   346999.100000    1.079646E-02    4.167759E-02
   347999.100000    1.078455E-02    4.166706E-02
   348999.100000    1.077274E-02    4.162044E-02
   349999.000000    1.076098E-02    4.157408E-02
   350999.000000    1.074929E-02    4.152811E-02
   351999.000000    1.073766E-02    4.151856E-02
   352999.000000    1.072611E-02    4.147296E-02
   353999.000000    1.071463E-02    4.142768E-02
   354999.000000    1.070320E-02    4.138277E-02
   355999.000000    1.069186E-02    4.137415E-02
   356998.900000    1.068057E-02    4.132958E-02
   357998.900000    1.066936E-02    4.128536E-02
   358998.900000    1.065820E-02    4.124145E-02
   359998.900000    1.064712E-02    4.123375E-02
   360998.900000    1.063610E-02    4.119015E-02
   361998.900000    1.062515E-02    4.114699E-02
   362998.900000    1.061424E-02    4.110404E-02
   363998.900000    1.060342E-02    4.109715E-02
   364998.800000    1.059264E-02    4.105465E-02
   365998.800000    1.058193E-02    4.101241E-02
   366998.800000    1.057128E-02    4.100630E-02
   367998.800000    1.056069E-02    4.096443E-02
   368998.800000    1.055015E-02    4.092282E-02
   369998.800000    1.053970E-02    4.088148E-02
   370998.800000    1.052930E-02    4.087625E-02
   371998.800000    1.051894E-02    4.083525E-02
   372998.800000    1.050864E-02    4.079458E-02
   373998.700000    1.049841E-02    4.075417E-02
   374998.700000    1.048822E-02    4.071403E-02
   375998.700000    1.047812E-02    4.070967E-02
   376998.700000    1.046805E-02    4.066981E-02
   377998.700000    1.045803E-02    4.063030E-02
   378998.700000    1.044808E-02    4.059102E-02
   379998.700000    1.043818E-02    4.058742E-02
   380998.700000    1.042834E-02    4.054848E-02
   381998.600000    1.041855E-02    4.050974E-02
   382998.600000    1.040881E-02    4.047131E-02
   383998.600000    1.039914E-02    4.046848E-02
   384998.600000    1.038951E-02    4.043037E-02
   385998.600000    1.037994E-02    4.039248E-02
   386998.600000    1.037040E-02    4.035483E-02
   387998.600000    1.036094E-02    4.035280E-02
   388998.500000    1.035151E-02    4.031547E-02
   389998.500000    1.034213E-02    4.027836E-02
   390998.500000    1.033281E-02    4.024152E-02
   391998.500000    1.032356E-02    4.024021E-02
   392998.500000    1.031432E-02    4.020361E-02
   393998.500000    1.030516E-02    4.016728E-02
   394998.500000    1.029604E-02    4.013117E-02
   395998.400000    1.028698E-02    4.013061E-02
   396998.400000    1.027795E-02    4.009480E-02
   397998.400000    1.026898E-02    4.005918E-02
   398998.400000    1.026005E-02    4.002379E-02
   399998.400000    1.025117E-02    3.998866E-02
   400998.400000    1.024234E-02    3.998883E-02
   401998.400000    1.023355E-02    3.995397E-02
   402998.300000    1.022479E-02    3.991930E-02
   403998.300000    1.021610E-02    3.988485E-02
   404998.300000    1.020745E-02    3.988576E-02
   405998.300000    1.019885E-02    3.985153E-02
   406998.300000    1.019028E-02    3.981760E-02
   407998.300000    1.018176E-02    3.978381E-02
   408998.300000    1.017330E-02    3.978533E-02
