       INelastic distributin calculated from Bichsel prog COV and integral prog of Z.Chaoui
       22059
       einb() -> e energy		einbi() ->					tinbi() -> 
      106.780600000000000   2.721140000000000E-009   0.000000000000000E+000
      106.780600000000000   1.466948000000000E-001   1.337316155708220E-005
      106.780600000000000   2.933896000000000E-001   5.379421547269341E-005
      106.780600000000000   4.400844000000000E-001   1.206652414225575E-004
      106.780600000000000   5.867792000000000E-001   2.133013948537604E-004
      106.780600000000000   7.334740000000000E-001   3.312331313233537E-004
      106.780600000000000   8.801687000000000E-001   4.745583987147503E-004
      106.780600000000000        1.026864000000000   6.446524883189921E-004
      106.780600000000000        1.173558000000000   8.441101606471789E-004
      106.780600000000000        1.320253000000000   1.082481786121219E-003
      106.780600000000000        1.466948000000000   1.377333829698991E-003
      106.780600000000000        1.613643000000000   1.708673267004665E-003
      106.780600000000000        1.760337000000000   2.045417457674136E-003
      106.780600000000000        1.907032000000000   2.391459468641769E-003
      106.780600000000000        2.005119000000000   2.631477413706017E-003
      106.780600000000000        2.037108000000000   2.711304035109437E-003
      106.780600000000000        2.078916000000000   2.816759750287112E-003
      106.780600000000000        2.120723000000000   2.923488607233505E-003
      106.780600000000000        2.162530000000000   3.031492413105138E-003
      106.780600000000000        2.194779000000000   3.115686480029566E-003
      106.780600000000000        2.217430000000000   3.175281080607313E-003
      106.780600000000000        2.257952000000000   3.282855235016188E-003
      106.780600000000000        2.293173000000000   3.377367262094621E-003
      106.780600000000000        2.311566000000000   3.427098402383278E-003
      106.780600000000000        2.353373000000000   3.541096094644401E-003
      106.780600000000000        2.395181000000000   3.656432889887243E-003
      106.780600000000000        2.480823000000000   3.896903527659886E-003
      106.780600000000000        2.531325000000000   4.041360843074660E-003
      106.780600000000000        2.600502000000000   4.242427788284385E-003
      106.780600000000000        2.656024000000000   4.406460674918746E-003
      106.780600000000000        2.780723000000000   4.783403255231041E-003
      106.780600000000000        2.905020000000000   5.170798880647251E-003
      106.780600000000000        2.969578000000000   5.376493953706072E-003
      106.780600000000000        3.148193000000000   5.960706995773965E-003
      106.780600000000000        3.238153000000000   6.263383123507402E-003
      106.780600000000000        3.377510000000000   6.744777995339344E-003
      106.780600000000000        3.475301000000000   7.092221907977783E-003
      106.780600000000000        3.684337000000000   7.860999845488118E-003
      106.780600000000000        3.797791000000000   8.292950914918168E-003
      106.780600000000000        3.934940000000000   8.828808966387793E-003
      106.780600000000000        4.037149000000000   9.237773004876613E-003
      106.780600000000000        4.220482000000000   9.991357273940533E-003
      106.780600000000000        4.429518000000000   1.088135475295719E-002
      106.780600000000000        4.777108000000000   1.243277603638168E-002
      106.780600000000000        5.031727000000000   1.362520567700149E-002
      106.780600000000000        5.313253000000000   1.499734799780611E-002
      106.780600000000000        5.520884000000000   1.604395817878380E-002
      106.780600000000000        5.849398000000000   1.775838949825203E-002
      106.780600000000000        6.445783000000000   2.105226206299567E-002
      106.780600000000000        6.821285000000000   2.325076284594623E-002
      106.780600000000000        7.339357000000000   2.644639838223349E-002
      106.780600000000000        8.018072000000000   3.091883969708443E-002
      106.780600000000000        8.366466000000001   3.334699393066483E-002
      106.780600000000000        8.929719000000000   3.747251540826829E-002
      106.780600000000000        9.563253000000000   4.241943018547751E-002
      106.780600000000000        9.911647000000000   4.529113743334981E-002
      106.780600000000000       10.520080000000000   5.059527735786489E-002
      106.780600000000000       11.108430000000000   5.609016265312263E-002
      106.780600000000000       11.456830000000000   5.951571819562650E-002
      106.780600000000000       12.110440000000000   6.631193690132294E-002
      106.780600000000000       12.653610000000000   7.241506590248041E-002
      106.780600000000000       13.004020000000000   7.665813387596220E-002
      106.780600000000000       13.700800000000000   8.621961831047130E-002
      106.780600000000000       14.159040000000000   9.391634311035131E-002
      106.780600000000000       14.278310000000000   9.623094918185507E-002
      106.780600000000000       14.516470000000000   1.014084977921065E-001
      106.780600000000000       14.795180000000000   1.088138637819630E-001
      106.780600000000000       15.073900000000000   1.189944800404080E-001
      106.780600000000000       15.352610000000000   1.359892962119289E-001
      106.780600000000000       15.623490000000000   1.680701194801534E-001
      106.780600000000000       15.777510000000000   1.944229794408839E-001
      106.780600000000000       15.988760000000000   2.348715247250638E-001
      106.780600000000000       16.668670000000000   3.536364507084506E-001
      106.780600000000000       17.182730000000000   4.206974991664491E-001
      106.780600000000000       18.093370000000000   5.091085206526366E-001
      106.780600000000000       18.879520000000000   5.649216462111609E-001
      106.780600000000000       19.455820000000000   5.978990901870498E-001
      106.780600000000000       20.076310000000000   6.279127974692581E-001
      106.780600000000000       20.774100000000000   6.561907309134906E-001
      106.780600000000000       21.327710000000000   6.753434275072716E-001
      106.780600000000000       21.745780000000000   6.885758793397734E-001
      106.780600000000000       22.163860000000000   7.006802137143302E-001
      106.780600000000000       22.581930000000000   7.115294778853739E-001
      106.780600000000000       23.000000000000000   7.216861493199219E-001
      106.780600000000000       23.418070000000000   7.313625689091372E-001
      106.780600000000000       23.836140000000000   7.404349464313629E-001
      106.780600000000000       24.847390000000000   7.601713545812773E-001
      106.780600000000000       25.861450000000000   7.775494234718910E-001
      106.780600000000000       27.951810000000000   8.069215901893088E-001
      106.780600000000000       30.140560000000000   8.311338732514632E-001
      106.780600000000000       36.054220000000000   8.768300848188912E-001
      106.780600000000000       39.538150000000000   8.952644366957590E-001
      106.780600000000000       46.044180000000000   9.209265110765141E-001
      106.780600000000000       51.506020000000000   9.367025357116718E-001
      106.780600000000000       54.989960000000000   9.449485909148822E-001
      106.780600000000000       60.779120000000000   9.564534011137506E-001
