# Differential cross section for electron-argon scattering

# Data from 0.136 to 1.424 eV:
# Arati Dasgupta and A. K. Bhatia, Scattering of electrons from argon atoms,
# PHYSICAL REVIEW A, VOLUME 32, NUMBER 6 (1985)

# Data from 3 to 300 eV:
# Sultana N. Nahar and J. M. Wadehra, Elastic scattering of
# positrons and electrons by argon, PHYSICAL REVIEW A, VOLUME 35, NUMBER 5 (1987)

# Dimension of matrix:
# dimX
20
# dimY
38

# Data: First line is the energy, the first column the angle
# Negative values are ignored. Therefore -1 is used as place holder if no 
# data for this energy/angle combination exists.
# The column for the zero energy is the same one like the column for 0.136 eV. It shouldn't 
# have an important impact, cause we are interested in data for much more energy.
# The first element doesn't matter...
75	6.60867E-22	6.60867E-22	8.40086E-24	2.80029E-22	2.51186E-21	8.68088E-21	1.42815E-20	1.21252E-20	3.50036E-21	9.54897E-22	6.66468E-22	1.0305E-21	1.33014E-21	1.73898E-21	1.31613E-21	1.31613E-21	9.24094E-22	6.69268E-22	5.12452E-22
80	5.60057E-22	5.60057E-22	0	3.58437E-22	2.62387E-21	8.26084E-21	1.36654E-20	1.11171E-20	3.9204E-21	1.921E-21	2.06941E-21	2.40544E-21	2.52586E-21	2.38864E-21	1.9966E-21	1.24613E-21	7.8968E-22	5.46056E-22	4.17242E-22
85	4.70448E-22	4.70448E-22	2.80029E-24	4.28444E-22	2.66307E-21	7.64478E-21	1.25173E-20	9.801E-21	4.59247E-21	3.30434E-21	3.83639E-21	3.9764E-21	3.78039E-21	2.9403E-21	2.12822E-21	1.11171E-21	6.41265E-22	4.31244E-22	3.33234E-22
90	3.9484E-22	3.9484E-22	1.12011E-23	4.9005E-22	2.62947E-21	6.80469E-21	1.09211E-20	8.12083E-21	5.12452E-21	4.70448E-21	5.54456E-21	5.40455E-21	4.8725E-21	3.24833E-21	2.09741E-21	9.15693E-22	4.84449E-22	3.27633E-22	2.65467E-22
95	3.30434E-22	3.30434E-22	2.52026E-23	5.40455E-22	2.52586E-21	5.82459E-21	9.01692E-21	6.16063E-21	5.23653E-21	5.74058E-21	6.9167E-21	6.46866E-21	5.57257E-21	3.30434E-21	1.89859E-21	6.8327E-22	3.38835E-22	2.43345E-22	2.17862E-22
100	2.74428E-22	2.74428E-22	4.20043E-23	5.76859E-22	2.36624E-21	4.78849E-21	6.94471E-21	4.06041E-21	4.9285E-21	6.27264E-21	7.70078E-21	7.00071E-21	5.82459E-21	3.05231E-21	1.55416E-21	4.42445E-22	2.15342E-22	1.87059E-22	1.935E-22
105	2.26823E-22	2.26823E-22	5.8806E-23	5.99261E-22	2.16462E-21	3.75238E-21	4.9565E-21	2.15902E-21	4.22843E-21	6.21663E-21	7.8128E-21	6.9167E-21	5.54456E-21	2.57906E-21	1.12011E-21	2.29063E-22	1.35814E-22	1.66057E-22	1.9518E-22
110	1.87619E-22	1.87619E-22	7.28074E-23	6.10462E-22	1.9294E-21	2.77228E-21	3.16432E-21	7.05672E-22	3.38835E-21	5.71258E-21	7.25274E-21	6.24464E-21	4.81649E-21	1.9406E-21	6.69268E-22	8.00882E-23	1.15372E-22	1.87059E-22	2.25143E-22
115	1.54016E-22	1.54016E-22	8.96091E-23	6.10462E-22	1.67737E-21	1.9182E-21	1.80058E-21	3.36034E-23	2.66307E-21	4.8725E-21	6.13262E-21	5.12452E-21	3.78039E-21	1.25733E-21	2.88429E-22	3.16432E-23	1.65777E-22	2.53146E-22	2.82829E-22
120	1.26013E-22	1.26013E-22	1.0081E-22	5.99261E-22	1.42254E-21	1.24893E-21	1.0025E-21	4.20043E-22	2.41945E-21	4.03241E-21	4.70448E-21	3.75238E-21	2.59026E-21	6.66468E-22	6.60867E-23	1.12291E-22	2.9403E-22	3.66837E-22	3.72438E-22
