12
   1 1s1/2 2  1.43270000E+04
   2 2s1/2 2  1.92460000E+03
   3 2p1/2 2  1.73090000E+03
   4 2p3/2 4  1.67840000E+03
   5 3s1/2 2  2.92800000E+02
   6 3p1/2 2  2.22200000E+02
   7 3p3/2 4  2.14400000E+02
   8 3d3/2 4  9.50000000E+01
   9 3d5/2 6  9.38000000E+01
  10 4s1/2 2  2.75100000E+01
  11 4p1/2 2  1.46500000E+01
  12 4p3/2 4  1.40000000E+01
   2  9 12  4.29031000E-04  1.79560000E+03
   2 10 10  9.76846000E-05  1.84742000E+03
   2 10 11  1.40585000E-04  1.86143000E+03
   2 10 12  2.67986000E-04  1.86214000E+03
   2 11 11  7.73010000E-07  1.87544000E+03
   2 11 12  6.18413000E-06  1.87615000E+03
   2 12 12  4.62006000E-06  1.87686000E+03
   3  5  0  3.38438000E-03  1.43940000E+03
   3  7  0  2.35079000E-05  1.51770000E+03
   3  8  0  1.74919000E-02  1.63688000E+03
   3 10  0  1.67509000E-04  1.70330000E+03
   3 12  0  3.66198000E-07  1.71852000E+03
   3  5  5  2.03727000E-03  1.17196000E+03
   3  5  6  4.06245000E-02  1.23501000E+03
   3  5  7  3.67292000E-03  1.24317000E+03
   3  5  8  2.05945000E-03  1.35478000E+03
   3  5  9  5.45922000E-03  1.35615000E+03
   3  5 10  4.46067000E-04  1.42269000E+03
   3  5 11  3.08477000E-03  1.43670000E+03
   3  5 12  3.28449000E-04  1.43741000E+03
   3  6  6  3.74502000E-02  1.29806000E+03
   3  6  7  1.25663000E-01  1.30622000E+03
   3  6  8  5.94956000E-02  1.41783000E+03
   3  6  9  1.09768000E-01  1.41920000E+03
   3  6 10  5.36171000E-03  1.48574000E+03
   3  6 11  6.60675000E-03  1.49975000E+03
   3  6 12  1.20927000E-02  1.50046000E+03
   3  7  7  3.45316000E-03  1.31438000E+03
   3  7  8  7.33333000E-02  1.42599000E+03
   3  7  9  1.02704000E-02  1.42736000E+03
   3  7 10  4.26100000E-04  1.49390000E+03
   3  7 11  9.82708000E-03  1.50791000E+03
   3  7 12  5.81445000E-04  1.50862000E+03
   3  8  8  6.11583000E-02  1.53760000E+03
   3  8  9  2.72737000E-01  1.53897000E+03
   3  8 10  2.86295000E-04  1.60551000E+03
   3  8 11  4.62492000E-03  1.61952000E+03
   3  8 12  6.79101000E-03  1.62023000E+03
   3  9  9  1.29541000E-02  1.54034000E+03
   3  9 10  6.52471000E-04  1.60688000E+03
   3  9 11  7.96061000E-03  1.62089000E+03
   3  9 12  8.87686000E-04  1.62160000E+03
   3 10 10  2.44127000E-05  1.67342000E+03
   3 10 11  4.08357000E-04  1.68743000E+03
   3 10 12  3.77275000E-05  1.68814000E+03
   3 11 11  2.86289000E-04  1.70144000E+03
   3 11 12  9.45404000E-04  1.70215000E+03
   3 12 12  3.77848000E-05  1.70286000E+03
   4  5  0  4.04641000E-03  1.38690000E+03
   4  6  0  1.36320000E-05  1.45770000E+03
   4  7  0  1.30140000E-05  1.46530000E+03
   4  8  0  1.62150000E-03  1.58541000E+03
   4  9  0  1.57820000E-02  1.58541000E+03
   4 10  0  1.50760000E-04  1.65090000E+03
   4 11  0  1.77550000E-07  1.66543000E+03
   4 12  0  1.68380000E-07  1.66609000E+03
   4  5  5  2.30255000E-03  1.11706000E+03
   4  5  6  1.70999000E-03  1.18011000E+03
   4  5  7  4.49214000E-02  1.18827000E+03
   4  5  8  3.91035000E-03  1.29988000E+03
   4  5  9  4.25888000E-03  1.30125000E+03
   4  5 10  5.04185000E-04  1.36779000E+03
   4  5 11  1.51020000E-04  1.38180000E+03
   4  5 12  3.41078000E-03  1.38251000E+03
   4  6  6  6.41264000E-04  1.24316000E+03
   4  6  7  7.20118000E-02  1.25132000E+03
   4  6  8  4.40753000E-03  1.36293000E+03
   4  6  9  4.06759000E-02  1.36430000E+03
   4  6 10  1.95158000E-04  1.43084000E+03
   4  6 11  1.11519000E-04  1.44485000E+03
   4  6 12  5.59703000E-03  1.44556000E+03
   4  7  7  1.04807000E-01  1.25948000E+03
   4  7  8  9.23720000E-02  1.37109000E+03
   4  7  9  1.40909000E-01  1.37246000E+03
   4  7 10  5.88989000E-03  1.43900000E+03
   4  7 11  6.91448000E-03  1.45301000E+03
   4  7 12  1.82275000E-02  1.45372000E+03
   4  8  8  1.16688000E-02  1.48270000E+03
   4  8  9  2.30889000E-01  1.48407000E+03
   4  8 10  4.80958000E-04  1.55061000E+03
   4  8 11  4.22869000E-04  1.56462000E+03
   4  8 12  6.85892000E-03  1.56533000E+03
   4  9  9  1.56822000E-01  1.48544000E+03
   4  9 10  5.48320000E-04  1.55198000E+03
   4  9 11  3.72441000E-03  1.56599000E+03
   4  9 12  1.12059000E-02  1.56670000E+03
   4 10 10  2.78813000E-05  1.61852000E+03
   4 10 11  1.85881000E-05  1.63253000E+03
   4 10 12  4.48431000E-04  1.63324000E+03
   4 11 11  4.64684000E-06  1.64654000E+03
   4 11 12  5.39044000E-04  1.64725000E+03
   4 12 12  7.83011000E-04  1.64796000E+03
   5 11  0  1.97284000E-05  2.64740000E+02
   5 12  0  3.07209000E-05  2.65450000E+02
   5  8 10  5.60700000E-02  1.55380000E+02
   5  8 11  6.75392000E-03  1.69390000E+02
   5  8 12  5.55833000E-03  1.70100000E+02
   5  9 10  8.31509000E-02  1.56750000E+02
   5  9 11  2.71101000E-03  1.70760000E+02
   5  9 12  1.41569000E-02  1.71470000E+02
   5 10 10  1.58861000E-02  2.23290000E+02
   5 10 11  1.76513000E-02  2.37300000E+02
   5 10 12  3.32763000E-02  2.38010000E+02
   5 11 11  1.01328000E-03  2.51310000E+02
   5 11 12  2.80685000E-03  2.52020000E+02
   5 12 12  3.09833000E-03  2.52730000E+02
   6  8  0  1.67029000E-04  1.19770000E+02
   6 10  0  3.24469000E-05  1.87680000E+02
   6  8 11  8.85373000E-02  1.06340000E+02
