2	1	0.7210460772	7481.2	2
3	1	0.0561643836	7673.8	2
4	1	0.0191158157	7726.5	2	
5	1	0.1170610212	9113.0	2
6	1	0.0089912827	9183.5	2
7	1	0.0030199253	9191.3	2
8	1	0.0001313823	9310.8	2
9	1	0.0000948318	9312.0	2
10	1	0.0118929016	9378.2	2
11	1	0.0006656289	9391.1	2
12	1	0.0002198007	9391.7	2
1	2	0.2479147953	17824.3	1
2	2	0.0161170281	30226.9	1
3	2	0.2427819838	30419.6	1
4	2	0.3782882074	30472.3	1
5	2	0.0025510073	31858.8	1
6	2	0.0402412421	31929.3	1
7	2	0.0627229565	31937.0	1
8	2	0.0005923264	32056.5	1
9	2	0.0008351084	32057.7	1
10	2	0.0002586937	32124.0	1
11	2	0.0029872963	32136.8	1
12	2	0.0045836007	32137.5	1
