21
   1	1s      2   90526
   2	2s      2   16388
   3	2p1/2	2   15711
   4	2p3/2	4   13419
   5	3s      2   3999
   6	3p1/2	2   3696
   7	3p3/2	4   3177
   8	3d3/2	4   2688
   9    3d5/2	6   2580
   10	4s      2   939
   11	4p1/2	2   805.2
   12	4p3/2	4   678.8
   13	4d3/2	2   464
   14	4d5/2	2   440.1
   15	4f5/2	2   162.3
   16	4f7/2	2   157
   17	5s      2   159.3
   18	5p1/2	2   119
   19	5p3/2	2   92.6
   20	5d3/2	2   26.9
   21	5d5/2	2   23.8
   1 13 14  2.37308000E-07  8.99264000E+04
   1 14 14  5.01368000E-08  8.99508000E+04
   2  3  0  1.18120000E-05  6.08000000E+02
   2  4  0  3.32370000E-03  2.95100000E+03
   2  6  0  3.46070000E-02  1.26914000E+04
   2  7  0  3.70550000E-02  1.32100000E+04
   2  8  0  1.28210000E-03  1.36989000E+04
   2  9  0  1.91790000E-03  1.38068000E+04
   2 11  0  8.95660000E-03  1.55825000E+04
   2 12  0  1.04990000E-02  1.57105000E+04
   2 13  0  1.99110000E-04  1.59050000E+04
   2 14  0  3.15490000E-04  1.59508000E+04
   2 18  0  1.80350000E-03  1.62529000E+04
   2 19  0  2.08580000E-03  1.62785000E+04
   2 20  0  2.48950000E-05  1.63406000E+04
   2 21  0  3.91230000E-05  1.63438000E+04
   2 25  0  8.60050000E-05  1.63674000E+04
   2 26  0  8.34250000E-05  1.63697000E+04
   2  3 13  4.65666000E-03  1.43050000E+02
   2  3 14  6.16915000E-03  1.67390000E+02
   2  3 15  1.40990000E-02  4.34130000E+02
   2  3 16  1.86836000E-02  4.39830000E+02
   2  4  8  2.33072000E-01  2.53000000E+02
   2  4  9  2.92387000E-01  3.65000000E+02
   2  4 10  1.85206000E-02  2.02757000E+03
   2  4 11  7.32957000E-03  2.15157000E+03
   2  4 12  1.09852000E-02  2.28184000E+03
   2  4 13  3.10826000E-02  2.48605000E+03
   2  4 14  3.68251000E-02  2.51039000E+03
   2  4 15  2.14603000E-02  2.77713000E+03
   2  4 16  2.66939000E-02  2.78283000E+03
   2  5  5  5.20847000E-03  8.42820000E+03
   2  5  6  1.07421000E-02  8.70940000E+03
   2  5  7  1.66946000E-02  9.23520000E+03
   2  5  8  1.22950000E-02  9.70410000E+03
   2  5  9  1.56597000E-02  9.81610000E+03
   2  5 10  2.24411000E-03  1.14787000E+04
   2  5 11  2.62748000E-03  1.16027000E+04
   2  5 12  4.03146000E-03  1.17329000E+04
   2  5 13  2.72107000E-03  1.19372000E+04
   2  5 14  3.43891000E-03  1.19615000E+04
   2  5 15  2.29890000E-04  1.22282000E+04
   2  5 16  2.50629000E-04  1.22339000E+04
   2  6  6  1.97716000E-05  8.99060000E+03
   2  6  7  2.09735000E-04  9.51640000E+03
   2  6  8  6.68164000E-04  9.98530000E+03
   2  6  9  5.33323000E-03  1.00973000E+04
   2  6 10  1.82448000E-03  1.17599000E+04
   2  6 11  2.71381000E-06  1.18839000E+04
   2  6 12  4.24510000E-05  1.20141000E+04
   2  6 13  1.29301000E-04  1.22184000E+04
   2  6 14  7.50341000E-04  1.22427000E+04
   2  6 15  8.47077000E-05  1.25094000E+04
   2  6 16  2.94629000E-04  1.25151000E+04
   2  7  7  5.71631000E-04  1.00422000E+04
   2  7  8  1.74689000E-03  1.05111000E+04
   2  7  9  1.06363000E-03  1.06231000E+04
   2  7 10  2.78761000E-03  1.22857000E+04
   2  7 11  5.07866000E-05  1.24097000E+04
   2  7 12  2.09345000E-04  1.25399000E+04
   2  7 13  1.59920000E-04  1.27442000E+04
   2  7 14  7.83112000E-05  1.27685000E+04
   2  7 15  1.36271000E-04  1.30352000E+04
   2  7 16  1.14173000E-04  1.30409000E+04
   2  8  8  7.18912000E-04  1.09800000E+04
   2  8  9  2.11261000E-02  1.10920000E+04
   2  8 10  1.86763000E-03  1.27546000E+04
   2  8 11  1.96743000E-04  1.28786000E+04
   2  8 12  4.70830000E-04  1.30088000E+04
   2  8 13  3.10723000E-04  1.32131000E+04
   2  8 14  3.23652000E-03  1.32374000E+04
   2  8 15  2.43649000E-04  1.35041000E+04
   2  8 16  6.70673000E-04  1.35098000E+04
   2  9  9  5.82878000E-03  1.12040000E+04
   2  9 10  2.41411000E-03  1.28666000E+04
   2  9 11  1.15516000E-03  1.29906000E+04
   2  9 12  2.91739000E-04  1.31208000E+04
   2  9 13  3.12998000E-03  1.33251000E+04
   2  9 14  1.88592000E-03  1.33494000E+04
   2  9 15  7.38966000E-04  1.36161000E+04
   2  9 16  5.56730000E-04  1.36218000E+04
   2 10 10  2.27954000E-04  1.45291000E+04
   2 10 11  4.47189000E-04  1.46531000E+04
   2 10 12  6.75533000E-04  1.47834000E+04
   2 10 13  4.15011000E-04  1.49876000E+04
   2 10 14  5.28793000E-04  1.50120000E+04
   2 10 15  2.92699000E-05  1.52787000E+04
   2 10 16  3.04328000E-05  1.52844000E+04
   2 11 12  1.02733000E-05  1.49074000E+04
   2 11 13  3.37276000E-05  1.51116000E+04
   2 11 14  1.69228000E-04  1.51360000E+04
   2 11 15  1.18252000E-05  1.54027000E+04
   2 11 16  4.65227000E-05  1.54084000E+04
   2 12 12  1.84146000E-05  1.50377000E+04
   2 12 13  4.84603000E-05  1.52419000E+04
   2 12 14  2.67499000E-05  1.52662000E+04
   2 12 15  2.83008000E-05  1.55330000E+04
   2 12 16  2.32602000E-05  1.55387000E+04
   2 13 13  3.10146000E-05  1.54461000E+04
   2 13 14  5.25110000E-04  1.54704000E+04
   2 13 15  3.64412000E-05  1.57372000E+04
   2 13 16  7.57887000E-05  1.57429000E+04
   2 14 14  1.63789000E-04  1.54948000E+04
   2 14 15  8.83905000E-05  1.57615000E+04
   2 14 16  7.40432000E-05  1.57672000E+04
   2 15 15  1.08770000E-06  1.60283000E+04
   2 15 16  2.02320000E-05  1.60340000E+04
   2 16 16  4.79406000E-06  1.60397000E+04
   3  4  0  1.24020000E-05  2.34300000E+03
   3  5  0  8.94229000E-03  1.17124000E+04
   3  7  0  3.76200000E-04  1.25345000E+04
   3  8  0  3.27820000E-01  1.30236000E+04
   3 10  0  2.32000000E-03  1.47733000E+04
   3 12  0  1.05370000E-04  1.50318000E+04
   3 13  0  6.76889000E-02  1.52479000E+04
   3 15  0  2.99050000E-04  1.55520000E+04
   3 17  0  5.04370000E-04  1.56011000E+04
   3 19  0  2.13840000E-05  1.56705000E+04
   3 20  0  8.99449000E-03  1.57326000E+04
   3 24  0  7.12399000E-05  1.57503000E+04
   3 26  0  8.34879000E-07  1.57616000E+04
   3  4 10  5.01037000E-03  1.41957000E+03
   3  4 11  3.63688000E-02  1.54357000E+03
   3  4 12  9.88233000E-03  1.67384000E+03
   3  4 13  3.64027000E-02  1.87805000E+03
   3  4 14  1.24713000E-02  1.90239000E+03
   3  4 15  1.53438000E-03  2.16913000E+03
   3  4 16  2.28227000E-03  2.17483000E+03
   3  5  5  5.47962000E-04  7.82020000E+03
   3  5  6  1.95976000E-02  8.10140000E+03
   3  5  7  1.81942000E-03  8.62720000E+03
   3  5  8  3.12560000E-03  9.09610000E+03
   3  5  9  1.70274000E-03  9.20810000E+03
   3  5 10  2.12564000E-04  1.08707000E+04
   3  5 11  3.16403000E-03  1.09947000E+04
   3  5 12  3.93439000E-04  1.11249000E+04
   3  5 13  4.89889000E-04  1.13291000E+04
   3  5 14  2.27748000E-04  1.13535000E+04
   3  5 15  8.79746000E-05  1.16202000E+04
   3  5 16  6.16305000E-05  1.16259000E+04
   3  6  6  2.05440000E-02  8.38260000E+03
   3  6  7  5.15368000E-02  8.90840000E+03
   3  6  8  2.66069000E-02  9.37730000E+03
   3  6  9  3.74259000E-02  9.48930000E+03
   3  6 10  5.07981000E-03  1.11519000E+04
   3  6 11  8.46008000E-03  1.12759000E+04
   3  6 12  1.22145000E-02  1.14061000E+04
   3  6 13  5.89261000E-03  1.16103000E+04
   3  6 14  8.26892000E-03  1.16347000E+04
   3  6 15  4.55519000E-04  1.19014000E+04
   3  6 16  3.92984000E-04  1.19071000E+04
   3  7  7  1.16551000E-03  9.43420000E+03
   3  7  8  2.36986000E-02  9.90310000E+03
   3  7  9  3.46579000E-03  1.00151000E+04
